employee_code,name,designation,email,department_id,max_duties
ZOO001,Prof_ZOO_001,PROFESSOR,zoo001@cuj-test.edu,1,1
ZOO002,Prof_ZOO_002,ASSOCIATE_PROFESSOR,zoo002@cuj-test.edu,1,3
ZOO003,Prof_ZOO_003,ASSISTANT_PROFESSOR,zoo003@cuj-test.edu,1,3
ZOO004,Prof_ZOO_004,PROFESSOR,zoo004@cuj-test.edu,1,1
ZOO005,Prof_ZOO_005,ASSOCIATE_PROFESSOR,zoo005@cuj-test.edu,1,3
ZOO006,Prof_ZOO_006,ASSISTANT_PROFESSOR,zoo006@cuj-test.edu,1,3
PHY001,Prof_PHY_001,PROFESSOR,phy001@cuj-test.edu,2,1
PHY002,Prof_PHY_002,ASSOCIATE_PROFESSOR,phy002@cuj-test.edu,2,3
PHY003,Prof_PHY_003,ASSISTANT_PROFESSOR,phy003@cuj-test.edu,2,3
PHY004,Prof_PHY_004,PROFESSOR,phy004@cuj-test.edu,2,1
PHY005,Prof_PHY_005,ASSOCIATE_PROFESSOR,phy005@cuj-test.edu,2,3
PHY006,Prof_PHY_006,ASSISTANT_PROFESSOR,phy006@cuj-test.edu,2,3
SOC001,Prof_SOC_001,PROFESSOR,soc001@cuj-test.edu,3,1
SOC002,Prof_SOC_002,ASSOCIATE_PROFESSOR,soc002@cuj-test.edu,3,3
SOC003,Prof_SOC_003,ASSISTANT_PROFESSOR,soc003@cuj-test.edu,3,3
SOC004,Prof_SOC_004,PROFESSOR,soc004@cuj-test.edu,3,1
SOC005,Prof_SOC_005,ASSOCIATE_PROFESSOR,soc005@cuj-test.edu,3,3
SOC006,Prof_SOC_006,ASSISTANT_PROFESSOR,soc006@cuj-test.edu,3,3
NSS001,Prof_NSS_001,PROFESSOR,nss001@cuj-test.edu,4,1
NSS002,Prof_NSS_002,ASSOCIATE_PROFESSOR,nss002@cuj-test.edu,4,3
NSS003,Prof_NSS_003,ASSISTANT_PROFESSOR,nss003@cuj-test.edu,4,3
NSS004,Prof_NSS_004,PROFESSOR,nss004@cuj-test.edu,4,1
NSS005,Prof_NSS_005,ASSOCIATE_PROFESSOR,nss005@cuj-test.edu,4,3
NSS006,Prof_NSS_006,ASSISTANT_PROFESSOR,nss006@cuj-test.edu,4,3
JMC001,Prof_JMC_001,PROFESSOR,jmc001@cuj-test.edu,5,1
JMC002,Prof_JMC_002,ASSOCIATE_PROFESSOR,jmc002@cuj-test.edu,5,3
JMC003,Prof_JMC_003,ASSISTANT_PROFESSOR,jmc003@cuj-test.edu,5,3
JMC004,Prof_JMC_004,PROFESSOR,jmc004@cuj-test.edu,5,1
JMC005,Prof_JMC_005,ASSOCIATE_PROFESSOR,jmc005@cuj-test.edu,5,3
JMC006,Prof_JMC_006,ASSISTANT_PROFESSOR,jmc006@cuj-test.edu,5,3
PPA001,Prof_PPA_001,PROFESSOR,ppa001@cuj-test.edu,6,1
PPA002,Prof_PPA_002,ASSOCIATE_PROFESSOR,ppa002@cuj-test.edu,6,3
PPA003,Prof_PPA_003,ASSISTANT_PROFESSOR,ppa003@cuj-test.edu,6,3
PPA004,Prof_PPA_004,PROFESSOR,ppa004@cuj-test.edu,6,1
PPA005,Prof_PPA_005,ASSOCIATE_PROFESSOR,ppa005@cuj-test.edu,6,3
PPA006,Prof_PPA_006,ASSISTANT_PROFESSOR,ppa006@cuj-test.edu,6,3
MMBA001,Prof_MMBA_001,PROFESSOR,mmba001@cuj-test.edu,7,1
MMBA002,Prof_MMBA_002,ASSOCIATE_PROFESSOR,mmba002@cuj-test.edu,7,3
MMBA003,Prof_MMBA_003,ASSISTANT_PROFESSOR,mmba003@cuj-test.edu,7,3
MMBA004,Prof_MMBA_004,PROFESSOR,mmba004@cuj-test.edu,7,1
MMBA005,Prof_MMBA_005,ASSOCIATE_PROFESSOR,mmba005@cuj-test.edu,7,3
MMBA006,Prof_MMBA_006,ASSISTANT_PROFESSOR,mmba006@cuj-test.edu,7,3
BEECE001,Prof_BEECE_001,PROFESSOR,beece001@cuj-test.edu,8,1
BEECE002,Prof_BEECE_002,ASSOCIATE_PROFESSOR,beece002@cuj-test.edu,8,3
BEECE003,Prof_BEECE_003,ASSISTANT_PROFESSOR,beece003@cuj-test.edu,8,3
BEECE004,Prof_BEECE_004,PROFESSOR,beece004@cuj-test.edu,8,1
BEECE005,Prof_BEECE_005,ASSOCIATE_PROFESSOR,beece005@cuj-test.edu,8,3
BEECE006,Prof_BEECE_006,ASSISTANT_PROFESSOR,beece006@cuj-test.edu,8,3
