Roll No,Name
23MMBA0001,Student_23_MMBA_0001
23MMBA0002,Student_23_MMBA_0002
23MMBA0003,Student_23_MMBA_0003
23MMBA0004,Student_23_MMBA_0004
23MMBA0005,Student_23_MMBA_0005
23MMBA0006,Student_23_MMBA_0006
23MMBA0007,Student_23_MMBA_0007
23MMBA0008,Student_23_MMBA_0008
23MMBA0009,Student_23_MMBA_0009
23MMBA0010,Student_23_MMBA_0010
23MMBA0011,Student_23_MMBA_0011
23MMBA0012,Student_23_MMBA_0012
23MMBA0013,Student_23_MMBA_0013
23MMBA0014,Student_23_MMBA_0014
23MMBA0015,Student_23_MMBA_0015
23MMBA0016,Student_23_MMBA_0016
23MMBA0017,Student_23_MMBA_0017
23MMBA0018,Student_23_MMBA_0018
23IZOO0001,Student_23_IZOO_0001
23IZOO0002,Student_23_IZOO_0002
23IZOO0003,Student_23_IZOO_0003
23IZOO0004,Student_23_IZOO_0004
23IZOO0005,Student_23_IZOO_0005
23IZOO0006,Student_23_IZOO_0006
23IZOO0007,Student_23_IZOO_0007
23IZOO0008,Student_23_IZOO_0008
23IZOO0009,Student_23_IZOO_0009
23IZOO0010,Student_23_IZOO_0010
23IZOO0011,Student_23_IZOO_0011
23IZOO0012,Student_23_IZOO_0012
23IZOO0013,Student_23_IZOO_0013
23IZOO0014,Student_23_IZOO_0014
23IZOO0015,Student_23_IZOO_0015
23IZOO0016,Student_23_IZOO_0016
23IZOO0017,Student_23_IZOO_0017
23IZOO0018,Student_23_IZOO_0018
23IPHY0001,Student_23_IPHY_0001
23IPHY0002,Student_23_IPHY_0002
23IPHY0003,Student_23_IPHY_0003
23IPHY0004,Student_23_IPHY_0004
23IPHY0005,Student_23_IPHY_0005
23IPHY0006,Student_23_IPHY_0006
23IPHY0007,Student_23_IPHY_0007
23IPHY0008,Student_23_IPHY_0008
23IPHY0009,Student_23_IPHY_0009
23IPHY0010,Student_23_IPHY_0010
23IPHY0011,Student_23_IPHY_0011
23IPHY0012,Student_23_IPHY_0012
23IPHY0013,Student_23_IPHY_0013
23IPHY0014,Student_23_IPHY_0014
23IPHY0015,Student_23_IPHY_0015
23IPHY0016,Student_23_IPHY_0016
23IPHY0017,Student_23_IPHY_0017
23IPHY0018,Student_23_IPHY_0018
23BMSW0001,Student_23_BMSW_0001
23BMSW0002,Student_23_BMSW_0002
23BMSW0003,Student_23_BMSW_0003
23BMSW0004,Student_23_BMSW_0004
23BMSW0005,Student_23_BMSW_0005
23BMSW0006,Student_23_BMSW_0006
23BMSW0007,Student_23_BMSW_0007
23BMSW0008,Student_23_BMSW_0008
23BMSW0009,Student_23_BMSW_0009
23BMSW0010,Student_23_BMSW_0010
23BMSW0011,Student_23_BMSW_0011
23BMSW0012,Student_23_BMSW_0012
23BMSW0013,Student_23_BMSW_0013
23BMSW0014,Student_23_BMSW_0014
23BMSW0015,Student_23_BMSW_0015
23BMSW0016,Student_23_BMSW_0016
23BMSW0017,Student_23_BMSW_0017
23BMSW0018,Student_23_BMSW_0018
23BDSS0001,Student_23_BDSS_0001
23BDSS0002,Student_23_BDSS_0002
23BDSS0003,Student_23_BDSS_0003
23BDSS0004,Student_23_BDSS_0004
23BDSS0005,Student_23_BDSS_0005
23BDSS0006,Student_23_BDSS_0006
23BDSS0007,Student_23_BDSS_0007
23BDSS0008,Student_23_BDSS_0008
23BDSS0009,Student_23_BDSS_0009
23BDSS0010,Student_23_BDSS_0010
23BDSS0011,Student_23_BDSS_0011
23BDSS0012,Student_23_BDSS_0012
23BDSS0013,Student_23_BDSS_0013
23BDSS0014,Student_23_BDSS_0014
23BDSS0015,Student_23_BDSS_0015
23BDSS0016,Student_23_BDSS_0016
23BDSS0017,Student_23_BDSS_0017
23BDSS0018,Student_23_BDSS_0018
23BJMC0001,Student_23_BJMC_0001
23BJMC0002,Student_23_BJMC_0002
23BJMC0003,Student_23_BJMC_0003
23BJMC0004,Student_23_BJMC_0004
23BJMC0005,Student_23_BJMC_0005
23BJMC0006,Student_23_BJMC_0006
23BJMC0007,Student_23_BJMC_0007
23BJMC0008,Student_23_BJMC_0008
23BJMC0009,Student_23_BJMC_0009
23BJMC0010,Student_23_BJMC_0010
23BJMC0011,Student_23_BJMC_0011
23BJMC0012,Student_23_BJMC_0012
23BJMC0013,Student_23_BJMC_0013
23BJMC0014,Student_23_BJMC_0014
23BJMC0015,Student_23_BJMC_0015
23BJMC0016,Student_23_BJMC_0016
23BJMC0017,Student_23_BJMC_0017
23BJMC0018,Student_23_BJMC_0018
23BPPA0001,Student_23_BPPA_0001
23BPPA0002,Student_23_BPPA_0002
23BPPA0003,Student_23_BPPA_0003
23BPPA0004,Student_23_BPPA_0004
23BPPA0005,Student_23_BPPA_0005
23BPPA0006,Student_23_BPPA_0006
23BPPA0007,Student_23_BPPA_0007
23BPPA0008,Student_23_BPPA_0008
23BPPA0009,Student_23_BPPA_0009
23BPPA0010,Student_23_BPPA_0010
23BPPA0011,Student_23_BPPA_0011
23BPPA0012,Student_23_BPPA_0012
23BPPA0013,Student_23_BPPA_0013
23BPPA0014,Student_23_BPPA_0014
23BPPA0015,Student_23_BPPA_0015
23BPPA0016,Student_23_BPPA_0016
23BPPA0017,Student_23_BPPA_0017
23BPPA0018,Student_23_BPPA_0018
23BEECE0001,Student_23_BEECE_0001
23BEECE0002,Student_23_BEECE_0002
23BEECE0003,Student_23_BEECE_0003
23BEECE0004,Student_23_BEECE_0004
23BEECE0005,Student_23_BEECE_0005
23BEECE0006,Student_23_BEECE_0006
23BEECE0007,Student_23_BEECE_0007
23BEECE0008,Student_23_BEECE_0008
