Roll No,Name
23BEECE001,Student_23_BEECE_001
23BEECE002,Student_23_BEECE_002
23BEECE003,Student_23_BEECE_003
23BEECE004,Student_23_BEECE_004
23BEECE005,Student_23_BEECE_005
23BEECE006,Student_23_BEECE_006
23BEECE007,Student_23_BEECE_007
23BEECE008,Student_23_BEECE_008
23BEECE009,Student_23_BEECE_009
23BEECE010,Student_23_BEECE_010

23IMAT001,Student_23_IMAT_001
23IMAT002,Student_23_IMAT_002
23IMAT003,Student_23_IMAT_003
23IMAT004,Student_23_IMAT_004
23IMAT005,Student_23_IMAT_005
23IMAT006,Student_23_IMAT_006
23IMAT007,Student_23_IMAT_007
23IMAT008,Student_23_IMAT_008

23MPHY001,Student_23_MPHY_001
23MPHY002,Student_23_MPHY_002
23MPHY003,Student_23_MPHY_003
23MPHY004,Student_23_MPHY_004
23MPHY005,Student_23_MPHY_005

23IZOO0001,Student_23_IZOO_0001
23IZOO0002,Student_23_IZOO_0002
23IZOO0003,Student_23_IZOO_0003
23IZOO0004,Student_23_IZOO_0004
23IZOO0005,Student_23_IZOO_0005
23IZOO0006,Student_23_IZOO_0006
23IZOO0007,Student_23_IZOO_0007
23IZOO0008,Student_23_IZOO_0008
